"trade_id","symbol","entry_action","timeframe","d1_bias","h4_bias","h1_bias","m30_bias","m15_bias","alignment_score","result","pnl","mode","real_orders"
"USDCAD_H1_EMA_CROSS_13,55_691_692","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.0005","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_692_693","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.0006","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_693_706","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00224","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_706_819","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.00594","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_819_822","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00082","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_822_855","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00226","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_855_881","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00166","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_881_900","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.0022","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_900_963","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","WIN","0.00041","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_963_977","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00165","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_977_1015","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.00101","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_1015_1016","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","LOSS","-0.00138","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_1016_1063","USDCAD","SELL","H1","BEARISH","BEARISH","BEARISH","BEARISH","BEARISH","100","LOSS","-0.0015","PAPER_ONLY","FORBIDDEN"
"USDCAD_H1_EMA_CROSS_13,55_1063_1208","USDCAD","BUY","H1","BULLISH","BULLISH","BULLISH","BULLISH","BULLISH","100","WIN","0.00706","PAPER_ONLY","FORBIDDEN"
