symbol,timeframe,strategy,params,trades,pf,winrate,payoff,netprofit,tier,dataset,mode,real_orders
EURUSD,M2,SMA_SCALP,"9,21",531,0.9662,35.22,1.7568,-0.00373,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_EURUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,EMA_SCALP,"5,13",777,0.9645,26.38,2.6817,-104.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDJPY,M2,EMA_SCALP,"9,21",458,0.9636,27.51,2.5391,-0.301,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDJPY_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCAD,M2,SMA_SCALP,"5,13",859,0.9635,34.92,1.7697,-0.00474,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M5,EMA_SCALP,"8,21",500,0.9631,25.0,2.8815,-0.00756,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
NZDUSD,M2,EMA_SCALP,"9,21",453,0.9608,28.48,2.4056,-0.00341,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_NZDUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCAD,M2,EMA_SCALP,"5,13",745,0.9587,29.26,2.2736,-0.00485,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCAD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
USDCHF,M2,SMA_SCALP,"5,13",850,0.9578,35.18,1.7267,-0.00535,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_USDCHF_M2_raw.csv,PAPER_ONLY,FORBIDDEN
GBPUSD,M2,SMA_SCALP,"9,21",553,0.9578,34.9,1.7469,-0.00612,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_GBPUSD_M2_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,SMA_SCALP,"13,34",334,0.9556,32.63,1.955,-95.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
XAUUSD,M5,EMA_SCALP,"5,13",796,0.953,28.27,2.4184,-170.17,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_XAUUSD_M5_raw.csv,PAPER_ONLY,FORBIDDEN
UK100,M2,SMA_SCALP,"8,21",551,0.9525,32.49,1.9635,-126.5,D,C:\Users\MindFin\Desktop\mind-fin-pro-backend-core\mind_trader\data\raw\mt5\MT5_UK100_M2_raw.csv,PAPER_ONLY,FORBIDDEN
